Quantity,Value,Uncertainty,Unit
{220} lattice spacing of silicon,192.015 5714e-12,0.000 0032e-12,m
alpha particle-electron mass ratio,7294.299 5361,0.000 0029,none
alpha particle mass,6.644 656 75e-27,0.000 000 29e-27,kg
alpha particle massenergyequivalent,5.971 919 67e-10,0.000 000 26e-10,J
alpha particle massenergyequivalent in MeV,3727.379 240,0.000 082,MeV
alpha particle mass in u,4.001 506 179 125,0.000 000 000 062,u
alpha particle molar mass,4.001 506 179 125e-3,0.000 000 000 062e-3,kg mol^-1
alpha particle-proton mass ratio,3.972 599 689 33,0.000 000 000 36,none
Angstrom star,1.000 014 95e-10,0.000 000 90e-10,m
atomic mass constant,1.660 538 921e-27,0.000 000 073e-27,kg
atomic mass constantenergyequivalent,1.492 417 954e-10,0.000 000 066e-10,J
atomic mass constantenergyequivalent in MeV,931.494 061,0.000 021,MeV
atomic mass unit-electron volt relationship,931.494 061e6,0.000 021e6,eV
atomic mass unit-hartree relationship,3.423 177 6845e7,0.000 000 0024e7,E_h
atomic mass unit-hertz relationship,2.252 342 7168e23,0.000 000 0016e23,Hz
atomic mass unit-inverse meter relationship,7.513 006 6042e14,0.000 000 0053e14,m^-1
atomic mass unit-joule relationship,1.492 417 954e-10,0.000 000 066e-10,J
atomic mass unit-kelvin relationship,1.080 954 08e13,0.000 000 98e13,K
atomic mass unit-kilogram relationship,1.660 538 921e-27,0.000 000 073e-27,kg
atomic unit of 1st hyperpolarizability,3.206 361 449e-53,0.000 000 071e-53,C^3 m^3 J^-2
atomic unit of 2nd hyperpolarizability,6.235 380 54e-65,0.000 000 28e-65,C^4 m^4 J^-3
atomic unit of action,1.054 571 726e-34,0.000 000 047e-34,J s
atomic unit of charge,1.602 176 565e-19,0.000 000 035e-19,C
atomic unit of charge density,1.081 202 338e12,0.000 000 024e12,C m^-3
atomic unit of current,6.623 617 95e-3,0.000 000 15e-3,A
atomic unit of electric dipole mom.,8.478 353 26e-30,0.000 000 19e-30,C m
atomic unit of electric field,5.142 206 52e11,0.000 000 11e11,V m^-1
atomic unit of electric field gradient,9.717 362 00e21,0.000 000 21e21,V m^-2
atomic unit of electric polarizability,1.648 777 2754e-41,0.000 000 0016e-41,C^2 m^2 J^-1
atomic unit of electric potential,27.211 385 05,0.000 000 60,V
atomic unit of electric quadrupole mom.,4.486 551 331e-40,0.000 000 099e-40,C m^2
atomic unit of energy,4.359 744 34e-18,0.000 000 19e-18,J
atomic unit of force,8.238 722 78e-8,0.000 000 36e-8,N
